epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1346.64,0.96993,0.52744,1.17254,0.99766,0.99665,0.995,0.70013,0.54968,0.37143,0.52738,0.0018152,0.0018152,0.0018152
58,1370.85,0.96881,0.49509,1.18382,0.75573,0.76077,0.83648,0.51506,0.6653,8.54307,0.66149,0.0018119,0.0018119,0.0018119
59,1393.32,0.89035,0.46134,1.12279,0.99693,0.99766,0.99477,0.71773,0.51385,9.73217,0.51922,0.0018086,0.0018086,0.0018086
60,1407.85,1.07001,0.71237,1.2757,0.98579,0.99532,0.99119,0.70372,0.55489,14.4635,0.53226,0.0018053,0.0018053,0.0018053
61,1434.31,0.98454,0.55184,1.17899,0.98008,0.98595,0.99339,0.59753,0.68709,2.03441,0.62788,0.001802,0.001802,0.001802
62,1461.6,0.99679,0.56104,1.1895,0.94063,0.91335,0.97269,0.65134,0.51268,8.21139,0.58662,0.0017987,0.0017987,0.0017987
63,1486.15,1.04213,0.54451,1.22209,0.94897,0.95819,0.9598,0.62095,0.60621,1.69145,0.61867,0.0017954,0.0017954,0.0017954
64,1515.18,0.94606,0.4896,1.16001,0.97915,0.98972,0.99273,0.34594,1.02682,4.01502,1.00703,0.0017921,0.0017921,0.0017921
65,1548.21,0.94043,0.50028,1.17723,0.91023,0.91101,0.85818,0.34136,1.00142,1.89687,0.98749,0.0017888,0.0017888,0.0017888
66,1581.93,0.9369,0.50114,1.17776,0.993,0.9965,0.99491,0.84979,0.32899,2.84806,0.46686,0.0017855,0.0017855,0.0017855
67,1618.05,1.01259,0.50611,1.20752,0.98987,0.99766,0.99493,0.70569,0.5246,5.84802,0.52261,0.0017822,0.0017822,0.0017822
68,1650.89,1.04169,0.50742,1.21097,0.90628,0.90632,0.84524,0.28432,1.14919,1.38279,1.12655,0.0017789,0.0017789,0.0017789
69,1671.91,0.98754,0.49396,1.17164,0.98154,0.99766,0.99491,0.79591,0.39923,1.03455,0.47576,0.0017756,0.0017756,0.0017756
